question_id,answer_length,has_structure,top_doc_similarity
,171,True,0.5823033785179186
,311,True,0.4687513514514724
,267,True,0.5620827784021851
,87,False,0.5063390049537503
,109,True,0.573864302348864
,182,True,0.6021137326474462
,122,True,0.5631919947516617
,245,True,0.6129196857471741
,191,True,0.5431391330201446
,268,True,0.556552748716993
,311,True,0.50979164274562
,305,True,0.5856369018092183
,256,True,0.4851593132238653
,434,True,0.4392367532047804
,389,True,0.5606442729632934
,127,True,0.5291583539783256
,267,True,0.4724892274691717
,229,True,0.4249085500955557
,204,True,0.5238541361486386
,266,True,0.508482381041322
,317,True,0.6405352561655847
,302,True,0.5761340021357648
,196,True,0.45330701220317815
,244,True,0.5715079375728426
,300,True,0.6381490102225631
,408,True,0.6710663244776401
,64,False,0.6434679898231073
,279,True,0.4193434945608547
,402,True,0.5593024289351427
,383,True,0.5522549881361596
,341,True,0.5969787009768206
,254,True,0.4543315468290978
,285,True,0.4917019893518475
,263,True,0.5162946353804021
,283,True,0.6038537512354654
,269,True,0.591310236977427
,250,True,0.6388705154141088
,241,True,0.5593599160695357
,287,True,0.5622439843189234
,73,False,0.5812934683365115
,201,True,0.38017494002796376
,270,True,0.5668149435972053
,111,True,0.6057007746979906
,289,True,0.5660333944515157
,278,True,0.6761905733412092
,209,True,0.5121754461342296
,321,True,0.6591692275390815
,257,True,0.5783653375767381
,104,True,0.5651749024011578
,225,True,0.6246756652655907
,417,True,0.6328757199712247
,139,True,0.5940144762812948
,211,True,0.6376610904828812
,393,True,0.47677904832592805
,122,True,0.6138133246799544
,231,True,0.5417740502876691
,311,True,0.574485634923815
,417,True,0.5936724996061644
,328,True,0.5212561718051332
,311,True,0.52963287888227
,292,True,0.560290238829545
,346,True,0.624963716750208
,253,True,0.5162975026382244
,227,True,0.48729132304202727
,402,True,0.4527488492196531
,255,True,0.46569974956965865
,275,True,0.5920353064031287
,282,True,0.576691454901994
,177,True,0.5019622879139435
,234,True,0.5979006701019149
,97,True,0.4477666360572664
,437,True,0.5326724876992882
,92,True,0.45711594582394344
,133,True,0.5607963277007296
,191,True,0.5055810920461876
,230,True,0.4826005488498405
,422,True,0.5139383725650873
,296,True,0.6183167556012912
,201,True,0.4888939836488085
,208,True,0.5960316604572953
,216,True,0.5454958609406944
,165,True,0.6028504202507438
,259,True,0.5947063363155602
,298,True,0.6178436624296011
,42,False,0.38955974468604815
,311,True,0.538488918637277
,345,True,0.5397998649828646
,251,True,0.5492280519963465
,303,True,0.4956315630953805
,234,True,0.5150535923877025
,347,True,0.5152621877688226
,251,True,0.5371060449383778
,434,True,0.5444356054091428
,194,True,0.5824009698127011
,293,True,0.4372259768558915
,236,True,0.5633959820440053
,305,True,0.4704465331481054
,45,False,0.4932246454941101
,190,True,0.6386984527786851
,300,True,0.5359089918299651
,286,True,0.5830033449037184
,125,True,0.6157066087256735
,154,True,0.5024087413850434
,172,True,0.4182205206062265
,272,True,0.6178750935062983
,188,True,0.47664059852246876
,242,True,0.45347646448407386
,192,True,0.5572953429640384
,222,True,0.5984383948944654
,272,True,0.4689722855613261
